,0
0,156282.55
1,112506.32
2,186542.47
3,94601.61
4,138155.3
5,114195.016
6,180281.97
7,156282.55
8,174483.39
9,156282.55
10,164286.06
11,131441.0
12,76167.71
13,130494.234
14,170398.19
15,30824.404
16,151655.44
17,217283.28
18,123944.48
19,156904.94
20,130494.234
21,183259.94
22,118551.24
23,165108.8
24,61419.96
25,151655.44
26,48019.99
27,156904.94
28,174483.39
29,114674.695
30,158084.25
31,174483.39
32,156904.94
33,165108.8
34,174483.39
35,174483.39
36,167738.5
37,156904.94
38,165424.03
39,123108.695
40,151655.44
41,203562.84
42,157182.6
43,165424.03
44,98702.875
45,156904.94
46,170398.19
47,183259.94
48,151655.44
49,174483.39
50,135033.44
51,118551.24
52,122635.766
53,178271.81
54,165424.03
55,180281.97
56,166182.77
57,170151.39
58,183259.94
59,122635.766
60,153290.78
61,156904.94
62,165108.8
63,174483.39
64,148556.83
65,141384.56
66,183259.94
67,134183.02
68,174483.39
69,40473.992
70,136055.19
71,156282.55
72,82526.555
73,170398.19
74,213026.28
75,90612.016
76,170398.19
77,114195.016
78,166182.77
79,112752.1
80,183259.94
81,193802.72
82,80422.87
83,44919.46
84,140636.19
85,116498.01
86,122635.766
87,174483.39
88,79471.586
89,122635.766
90,121787.09
91,165424.03
92,84058.51
93,185738.28
94,156282.55
95,180281.97
96,165424.03
97,94900.58
98,174483.39
99,166182.77
100,151655.44
101,165424.03
102,95858.22
103,165424.03
104,114442.69
105,48019.99
106,165424.03
107,150732.61
108,174483.39
109,180281.97
110,122635.766
111,166182.77
112,156904.94
113,156920.03
114,174483.39
115,90508.54
116,165108.8
117,123108.695
118,45282.664
119,83118.445
120,183259.94
121,151655.44
122,174483.39
123,165424.03
124,31649.443
125,198352.8
126,174483.39
127,165424.03
128,169579.83
129,99332.36
130,99121.79
131,114674.695
132,156282.55
133,207697.27
134,165108.8
135,174483.39
136,186165.67
137,174483.39
138,65389.348
139,72125.07
140,138155.3
141,122635.766
142,156904.94
143,79873.98
144,130494.234
145,156282.55
146,53997.367
147,61479.984
148,19823.504
149,152536.1
150,183259.94
151,166182.77
152,79471.586
153,130494.234
154,107592.54
155,114674.695
156,166182.77
157,121787.09
158,174483.39
159,122635.766
160,122049.45
161,121787.09
162,114195.016
163,152536.1
164,72125.07
165,183259.94
166,166182.77
167,165424.03
168,122635.766
169,165424.03
170,174483.39
171,121787.09
172,104653.65
173,122049.45
174,132250.98
175,166182.77
176,183259.94
177,203562.84
178,183259.94
179,165424.03
180,153290.78
181,138155.3
182,169579.83
183,165108.8
184,165424.03
185,166182.77
186,122635.766
187,166182.77
188,15531.284
189,12075.448
190,151655.44
191,151655.44
192,114674.695
193,156904.94
194,151655.44
195,84008.375
196,156904.94
197,144967.61
198,167738.5
199,122635.766
200,174483.39
201,154768.45
202,122635.766
203,170151.39
204,203562.84
205,130494.234
206,79471.586
207,166510.61
208,156904.94
209,156282.55
210,174483.39
211,174483.39
212,67870.43
213,174483.39
214,35388.086
215,174483.39
216,202422.27
217,165108.8
218,165108.8
219,26327.701
220,44866.496
221,67158.78
222,139575.19
223,165424.03
224,217283.28
225,122635.766
226,183259.94
227,157182.6
228,166182.77
229,164747.12
230,174483.39
231,156904.94
232,165424.03
233,70189.59
234,114674.695
235,114674.695
236,156904.94
237,54157.18
238,180281.97
239,156904.94
240,153290.78
241,203562.84
242,174483.39
243,166182.77
244,205568.88
245,144162.84
246,114674.695
247,166182.77
248,165424.03
249,165108.8
250,156904.94
251,70189.59
252,183259.94
253,130494.234
254,165424.03
255,165424.03
256,156904.94
257,165424.03
258,94601.61
259,138155.3
260,147570.33
261,165424.03
262,114195.016
263,15821.446
264,131275.28
265,50533.156
266,183259.94
267,180281.97
268,86308.305
269,174483.39
270,151655.44
271,165424.03
272,156904.94
273,122051.914
274,134334.53
275,57942.527
276,174483.39
277,83770.62
278,166182.77
279,156904.94
280,151655.44
281,165424.03
282,149379.25
283,121787.09
284,104653.65
285,91123.06
286,40473.992
287,183259.94
288,174483.39
289,183259.94
290,183259.94
291,166182.77
292,174483.39
293,156282.55
294,114674.695
295,122635.766
296,104653.65
297,131934.16
298,166182.77
299,174483.39
300,97665.12
301,121787.09
302,156282.55
303,174483.39
304,156904.94
305,49154.35
306,114674.695
307,62540.07
308,163201.56
309,165424.03
310,130494.234
311,151655.44
312,127817.766
313,156282.55
314,129997.016
315,166182.77
316,138155.3
317,183259.94
318,47351.83
319,156904.94
320,149379.25
321,156904.94
322,149379.25
323,186165.67
324,165108.8
325,156904.94
326,165108.8
327,134183.02
328,169121.61
329,130494.234
330,121787.09
331,69333.07
332,156904.94
333,165108.8
334,165108.8
335,174483.39
336,121787.09
337,169367.55
338,114674.695
339,183259.94
340,165424.03
341,122635.766
342,123108.695
343,74098.875
344,60028.418
345,183259.94
346,198352.8
347,183259.94
348,143383.72
349,149379.25
350,122049.45
351,174483.39
352,156282.55
353,130494.234
354,122635.766
355,114674.695
356,198352.8
357,153290.78
358,151655.44
359,151655.44
360,156904.94
361,166550.98
362,165424.03
363,44821.953
364,183259.94
365,180281.97
366,165108.8
367,114674.695
368,183259.94
369,156904.94
370,122635.766
371,165108.8
372,156282.55
373,174483.39
374,86802.24
375,166182.77
376,44697.445
377,156904.94
378,151655.44
379,52855.21
380,170398.19
381,166182.77
382,183259.94
383,105201.23
384,65404.434
385,108994.05
386,165108.8
387,115554.125
388,156904.94
389,183259.94
390,156282.55
391,140473.2
392,166510.61
393,213026.28
394,151655.44
395,122635.766
396,48569.01
397,110552.35
398,140473.2
399,156904.94
400,174483.39
401,174483.39
402,166182.77
403,180281.97
404,114195.016
405,165424.03
406,80123.61
407,72125.07
408,83862.89
409,114674.695
410,156904.94
411,130494.234
412,183259.94
413,152536.1
414,183259.94
415,174483.39
416,174483.39
417,165424.03
418,156282.55
419,165424.03
420,156282.55
421,161884.39
422,133860.84
423,134209.38
424,169121.61
425,178702.2
426,122635.766
427,156282.55
428,166182.77
429,122635.766
430,151655.44
431,151655.44
