work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,data_engineering_and_architecture,258000,USD,258000,US,100,US,L
2023,SE,FT,data_science_and_ml,225000,USD,225000,US,0,US,M
2023,SE,FT,data_science_and_ml,156400,USD,156400,US,0,US,M
2023,SE,FT,data_engineering_and_architecture,190000,USD,190000,US,100,US,M
2023,SE,FT,data_engineering_and_architecture,150000,USD,150000,US,100,US,M
2023,SE,FT,data_science_and_ml,196000,USD,196000,US,0,US,M
2023,SE,FT,data_science_and_ml,121000,USD,121000,US,0,US,M
2023,SE,FT,data_science_and_ml,219000,USD,219000,US,0,US,M
2023,SE,FT,data_science_and_ml,141000,USD,141000,US,0,US,M
2023,SE,FT,data_engineering_and_architecture,230000,USD,230000,US,0,US,M
2023,SE,FT,data_engineering_and_architecture,206000,USD,206000,US,0,US,M
2023,SE,FT,data_science_and_ml,192000,USD,192000,US,0,US,M
2023,SE,FT,data_science_and_ml,164000,USD,164000,US,0,US,M
2023,MI,FT,data_science_and_ml,300000,USD,300000,AU,0,AU,M
2023,MI,FT,data_science_and_ml,260000,USD,260000,AU,0,AU,M
2023,SE,FT,data_analysis_and_visualization,147000,USD,147000,US,100,US,M
2023,SE,FT,data_analysis_and_visualization,92000,USD,92000,US,100,US,M
2023,SE,FT,data_science_and_ml,200000,USD,200000,US,0,US,M
2023,SE,FT,data_science_and_ml,140000,USD,140000,US,0,US,M
2023,MI,FT,data_engineering_and_architecture,110000,USD,110000,US,0,US,M
2023,MI,FT,data_engineering_and_architecture,70000,USD,70000,US,0,US,M
2023,SE,FT,data_engineering_and_architecture,284310,USD,284310,US,0,US,M
2023,SE,FT,data_engineering_and_architecture,153090,USD,153090,US,0,US,M
2023,SE,FT,data_science_and_ml,261500,USD,261500,US,0,US,L
2023,SE,FT,data_science_and_ml,134500,USD,134500,US,0,US,L
2023,EN,CT,data_analysis_and_visualization,83200,USD,83200,US,50,US,S
2022,MI,FT,ai_development,15000,USD,15000,AE,50,AE,S
2023,MI,FT,data_analysis_and_visualization,1050000,INR,12771,IN,100,IN,L
2022,EN,FT,data_science_and_ml,50000,USD,50000,BO,100,SM,M
2023,SE,FT,data_engineering_and_architecture,204500,USD,204500,DE,0,DE,M
2023,SE,FT,data_engineering_and_architecture,142200,USD,142200,DE,0,DE,M
2023,SE,FT,data_analysis_and_visualization,145000,USD,145000,US,100,US,M
2023,SE,FT,data_analysis_and_visualization,106000,USD,106000,US,100,US,M
2023,SE,FT,data_science_and_ml,190000,USD,190000,US,100,US,M
2023,SE,FT,data_science_and_ml,160000,USD,160000,US,100,US,M
2023,SE,FT,data_engineering_and_architecture,275300,USD,275300,US,100,US,M
2023,SE,FT,data_engineering_and_architecture,183500,USD,183500,US,100,US,M
2023,MI,FT,data_engineering_and_architecture,120000,GBP,146263,GB,0,GB,M
2023,MI,FT,data_engineering_and_architecture,100000,GBP,121886,GB,0,GB,M
2023,SE,FT,data_engineering_and_architecture,182850,USD,182850,US,100,US,M
2023,SE,FT,data_engineering_and_architecture,113000,USD,113000,US,100,US,M
2023,SE,FT,business_intelligence,202800,USD,202800,US,0,US,L
2023,SE,FT,business_intelligence,104300,USD,104300,US,0,US,L
2023,SE,FT,data_engineering_and_architecture,215000,USD,215000,US,0,US,M
2023,SE,FT,data_engineering_and_architecture,175000,USD,175000,US,0,US,M
2023,EX,FT,data_science_and_ml,228856,USD,228856,GB,100,GB,M
2023,EX,FT,data_science_and_ml,144540,USD,144540,GB,100,GB,M
2023,MI,FT,data_engineering_and_architecture,162500,USD,162500,US,0,US,M
2023,MI,FT,data_engineering_and_architecture,130000,USD,130000,US,0,US,M
2023,MI,FT,data_science_and_ml,140000,USD,140000,US,100,US,M
2023,MI,FT,data_science_and_ml,115000,USD,115000,US,100,US,M
2023,SE,FT,data_engineering_and_architecture,136600,USD,136600,US,100,US,M
2023,SE,FT,data_engineering_and_architecture,109280,USD,109280,US,100,US,M
